Stop,601,603,605,607,609,611,613,615,617,619,621,623,625,627,629,631,633,635,637,639,641,643,645,647,649,651,653,655,657,659,661,663,665
Tamien,6:51a,,7:51a,,8:51a,,9:51a,,10:51a,,11:51a,,12:51p,,1:51p,,2:51p,,3:51p,,4:51p,,5:51p,,6:51p,,7:51p,,8:51p,,9:51p,,11:25p
San Jose Diridon,6:56a,7:26a,7:56a,8:26a,8:56a,9:26a,9:56a,10:26a,10:56a,11:26a,11:56a,12:26p,12:56p,1:26p,1:56p,2:26p,2:56p,3:26p,3:56p,4:26p,4:56p,5:26p,5:56p,6:26p,6:56p,7:26p,7:56p,8:26p,8:56p,9:26p,9:56p,10:30p,11:30p
Santa Clara,7:02a,7:32a,8:02a,8:32a,9:02a,9:32a,10:02a,10:32a,11:02a,11:32a,12:02p,12:32p,1:02p,1:32p,2:02p,2:32p,3:02p,3:32p,4:02p,4:32p,5:02p,5:32p,6:02p,6:32p,7:02p,7:32p,8:02p,8:32p,9:02p,9:32p,10:02p,10:36p,11:36p
Lawrence,7:07a,7:37a,8:07a,8:37a,9:07a,9:37a,10:07a,10:37a,11:07a,11:37a,12:07p,12:37p,1:07p,1:37p,2:07p,2:37p,3:07p,3:37p,4:07p,4:37p,5:07p,5:37p,6:07p,6:37p,7:07p,7:37p,8:07p,8:37p,9:07p,9:37p,10:07p,10:41p,11:41p
Sunnyvale,7:11a,7:41a,8:11a,8:41a,9:11a,9:41a,10:11a,10:41a,11:11a,11:41a,12:11p,12:41p,1:11p,1:41p,2:11p,2:41p,3:11p,3:41p,4:11p,4:41p,5:11p,5:41p,6:11p,6:41p,7:11p,7:41p,8:11p,8:41p,9:11p,9:41p,10:11p,10:45p,11:45p
Mountain View,7:15a,7:45a,8:15a,8:45a,9:15a,9:45a,10:15a,10:45a,11:15a,11:45a,12:15p,12:45p,1:15p,1:45p,2:15p,2:45p,3:15p,3:45p,4:15p,4:45p,5:15p,5:45p,6:15p,6:45p,7:15p,7:45p,8:15p,8:45p,9:15p,9:45p,10:15p,10:49p,11:49p
San Antonio,7:18a,7:48a,8:18a,8:48a,9:18a,9:48a,10:18a,10:48a,11:18a,11:48a,12:18p,12:48p,1:18p,1:48p,2:18p,2:48p,3:18p,3:48p,4:18p,4:48p,5:18p,5:48p,6:18p,6:48p,7:18p,7:48p,8:18p,8:48p,9:18p,9:48p,10:18p,10:52p,11:52p
California Ave,7:21a,7:51a,8:21a,8:51a,9:21a,9:51a,10:21a,10:51a,11:21a,11:51a,12:21p,12:51p,1:21p,1:51p,2:21p,2:51p,3:21p,3:51p,4:21p,4:51p,5:21p,5:51p,6:21p,6:51p,7:21p,7:51p,8:21p,8:51p,9:21p,9:51p,10:21p,10:55p,11:55p
Palo Alto,7:24a,7:54a,8:24a,8:54a,9:24a,9:54a,10:24a,10:54a,11:24a,11:54a,12:24p,12:54p,1:24p,1:54p,2:24p,2:54p,3:24p,3:54p,4:24p,4:54p,5:24p,5:54p,6:24p,6:54p,7:24p,7:54p,8:24p,8:54p,9:24p,9:54p,10:24p,10:58p,11:58p
Menlo Park,7:26a,7:56a,8:26a,8:56a,9:26a,9:56a,10:26a,10:56a,11:26a,11:56a,12:26p,12:56p,1:26p,1:56p,2:26p,2:56p,3:26p,3:56p,4:26p,4:56p,5:26p,5:56p,6:26p,6:56p,7:26p,7:56p,8:26p,8:56p,9:26p,9:56p,10:26p,11:00p,12:00a
Redwood City,7:32a,8:02a,8:32a,9:02a,9:32a,10:02a,10:32a,11:02a,11:32a,12:02p,12:32p,1:02p,1:32p,2:02p,2:32p,3:02p,3:32p,4:02p,4:32p,5:02p,5:32p,6:02p,6:32p,7:02p,7:32p,8:02p,8:32p,9:02p,9:32p,10:02p,10:32p,11:06p,12:06a
San Carlos,7:35a,8:05a,8:35a,9:05a,9:35a,10:05a,10:35a,11:05a,11:35a,12:05p,12:35p,1:05p,1:35p,2:05p,2:35p,3:05p,3:35p,4:05p,4:35p,5:05p,5:35p,6:05p,6:35p,7:05p,7:35p,8:05p,8:35p,9:05p,9:35p,10:05p,10:35p,11:09p,12:09a
Belmont,7:38a,8:08a,8:38a,9:08a,9:38a,10:08a,10:38a,11:08a,11:38a,12:08p,12:38p,1:08p,1:38p,2:08p,2:38p,3:08p,3:38p,4:08p,4:38p,5:08p,5:38p,6:08p,6:38p,7:08p,7:38p,8:08p,8:38p,9:08p,9:38p,10:08p,10:38p,11:12p,12:12a
Hillsdale,7:41a,8:11a,8:41a,9:11a,9:41a,10:11a,10:41a,11:11a,11:41a,12:11p,12:41p,1:11p,1:41p,2:11p,2:41p,3:11p,3:41p,4:11p,4:41p,5:11p,5:41p,6:11p,6:41p,7:11p,7:41p,8:11p,8:41p,9:11p,9:41p,10:11p,10:41p,11:15p,12:15a
Hayward Park,7:43a,8:13a,8:43a,9:13a,9:43a,10:13a,10:43a,11:13a,11:43a,12:13p,12:43p,1:13p,1:43p,2:13p,2:43p,3:13p,3:43p,4:13p,4:43p,5:13p,5:43p,6:13p,6:43p,7:13p,7:43p,8:13p,8:43p,9:13p,9:43p,10:13p,10:43p,11:17p,12:17a
San Mateo,7:46a,8:16a,8:46a,9:16a,9:46a,10:16a,10:46a,11:16a,11:46a,12:16p,12:46p,1:16p,1:46p,2:16p,2:46p,3:16p,3:46p,4:16p,4:46p,5:16p,5:46p,6:16p,6:46p,7:16p,7:46p,8:16p,8:46p,9:16p,9:46p,10:16p,10:46p,11:20p,12:20a
Burlingame,7:48a,8:18a,8:48a,9:18a,9:48a,10:18a,10:48a,11:18a,11:48a,12:18p,12:48p,1:18p,1:48p,2:18p,2:48p,3:18p,3:48p,4:18p,4:48p,5:18p,5:48p,6:18p,6:48p,7:18p,7:48p,8:18p,8:48p,9:18p,9:48p,10:18p,10:48p,11:22p,12:22a
